teamname,setups,lowpriority,delays
NukalaSRiveraA,74,3255,0
NukalaSRiveraA,55,2265,137
NukalaSRiveraA,68,606,86
NukalaSRiveraA,57,1105,160
NukalaSRiveraA,55,2794,80
NukalaSRiveraA,54,2794,97
NukalaSRiveraA,55,2473,99
NukalaSRiveraA,57,1449,103
NukalaSRiveraA,66,578,99
NukalaSRiveraA,58,1230,92
NukalaSRiveraA,68,315,99
NukalaSRiveraA,56,2263,46
NukalaSRiveraA,55,2822,29
NukalaSRiveraA,67,375,99
NukalaSRiveraA,57,1495,54
NukalaSRiveraA,56,1570,127
NukalaSRiveraA,66,606,87
NukalaSRiveraA,65,618,87
NukalaSRiveraA,55,1883,208
NukalaSRiveraA,58,1685,46
NukalaSRiveraA,57,2060,46
NukalaSRiveraA,55,2543,91
NukalaSRiveraA,58,1238,54
NukalaSRiveraA,55,2466,108
NukalaSRiveraA,68,578,98
NukalaSRiveraA,67,618,86
NukalaSRiveraA,55,3255,12
NukalaSRiveraA,56,2291,34
NukalaSRiveraA,63,2144,37
NukalaSRiveraA,54,3178,85
NukalaSRiveraA,54,3255,68
NukalaSRiveraA,58,611,100
NukalaSRiveraA,53,3255,73
NukalaSRiveraA,69,0,98
NukalaSRiveraA,58,606,113
NukalaSRiveraA,64,2144,29
NukalaSRiveraA,56,1636,122
NukalaSRiveraA,55,2461,133
